-,,,fir,
17/08/2016,TP1,NI,194.589,291
17/08/2016,TP1,SI,79.955,79.45
17/08/2016,TP2,NI,198.878,291
17/08/2016,TP2,SI,73.035,79.45
17/08/2016,TP3,NI,204.081,291
17/08/2016,TP3,SI,81.548,79.45
17/08/2016,TP4,NI,200.097,291
17/08/2016,TP4,SI,81.593,79.45
17/08/2016,TP5,NI,201.334,291
17/08/2016,TP5,SI,87.104,79.45
17/08/2016,TP6,NI,205.553,288.069
17/08/2016,TP6,SI,83.696,79.45
17/08/2016,TP7,NI,203.362,291
17/08/2016,TP7,SI,97.457,79.45
17/08/2016,TP8,NI,216.492,291
17/08/2016,TP8,SI,94.734,79.45
17/08/2016,TP9,NI,210.371,291
17/08/2016,TP9,SI,85.998,79.45
17/08/2016,TP10,NI,203.763,291
17/08/2016,TP10,SI,86.567,79.45
17/08/2016,TP11,NI,235.523,329.669
17/08/2016,TP11,SI,87.685,65
17/08/2016,TP12,NI,229.412,336
17/08/2016,TP12,SI,63.88,79.45
17/08/2016,TP13,NI,204.601,336
17/08/2016,TP13,SI,57.776,79.45
17/08/2016,TP14,NI,185.307,336
17/08/2016,TP14,SI,32.195,79.45
17/08/2016,TP15,NI,135.786,291
17/08/2016,TP15,SI,11.36,79.45
17/08/2016,TP16,NI,135.564,291
17/08/2016,TP16,SI,9.814,79.45
17/08/2016,TP17,NI,124.55,273.227
17/08/2016,TP17,SI,9.678,79.45
17/08/2016,TP18,NI,131.424,291
17/08/2016,TP18,SI,10.59,79.45
17/08/2016,TP19,NI,127.283,283.844
17/08/2016,TP19,SI,11.042,79.45
17/08/2016,TP20,NI,154.852,291
17/08/2016,TP20,SI,11.586,79.45
17/08/2016,TP21,NI,179.456,327.441
17/08/2016,TP21,SI,13.424,79.45
17/08/2016,TP22,NI,178.281,316.549
17/08/2016,TP22,SI,16.041,79.45
17/08/2016,TP23,NI,140.391,291
17/08/2016,TP23,SI,19.573,79.45
17/08/2016,TP24,NI,196.901,333.81
17/08/2016,TP24,SI,28.497,79.45
17/08/2016,TP25,NI,167.579,292.423
17/08/2016,TP25,SI,28.481,79.45
17/08/2016,TP26,NI,183.046,319.464
17/08/2016,TP26,SI,31.879,79.45
17/08/2016,TP27,NI,166.725,316.136
17/08/2016,TP27,SI,32.967,79.45
17/08/2016,TP28,NI,105.483,251
17/08/2016,TP28,SI,34.182,79.45
17/08/2016,TP29,NI,136.366,289.242
17/08/2016,TP29,SI,36.95,79.45
17/08/2016,TP30,NI,96.478,251
17/08/2016,TP30,SI,37.545,79.45
17/08/2016,TP31,NI,95.468,251
17/08/2016,TP31,SI,34.869,79.45
17/08/2016,TP32,NI,139.103,291
17/08/2016,TP32,SI,33.865,79.45
17/08/2016,TP33,NI,149.731,291
17/08/2016,TP33,SI,31.6,79.45
17/08/2016,TP34,NI,144.491,293.885
17/08/2016,TP34,SI,30.383,79.45
17/08/2016,TP35,NI,145.149,291
17/08/2016,TP35,SI,25.395,79.45
17/08/2016,TP36,NI,144.229,291
17/08/2016,TP36,SI,11.02,79.45
17/08/2016,TP37,NI,140.535,302.512
17/08/2016,TP37,SI,10.26,79.45
17/08/2016,TP38,NI,179.408,334.084
17/08/2016,TP38,SI,10.473,79.45
17/08/2016,TP39,NI,187.552,330.669
17/08/2016,TP39,SI,10.783,79.45
17/08/2016,TP40,NI,161.181,318.089
17/08/2016,TP40,SI,10.781,79.45
17/08/2016,TP41,NI,203.576,336
17/08/2016,TP41,SI,11.223,79.45
17/08/2016,TP42,NI,193.078,336
17/08/2016,TP42,SI,23.904,79.45
17/08/2016,TP43,NI,200.685,336
17/08/2016,TP43,SI,26.906,79.45
17/08/2016,TP44,NI,190.043,336
17/08/2016,TP44,SI,33.595,79.45
17/08/2016,TP45,NI,195.843,336
17/08/2016,TP45,SI,52.47,79.45
17/08/2016,TP46,NI,208.426,336
17/08/2016,TP46,SI,67.815,79.45
17/08/2016,TP47,NI,216.049,326
17/08/2016,TP47,SI,59.934,79.45
17/08/2016,TP48,NI,231.976,336
17/08/2016,TP48,SI,80.793,79.45
