-,,,fir,
16/08/2016,TP1,NI,206.58,291
16/08/2016,TP1,SI,69.727,79.45
16/08/2016,TP2,NI,206.806,288.58
16/08/2016,TP2,SI,67.611,79.45
16/08/2016,TP3,NI,214.152,291
16/08/2016,TP3,SI,95.013,79.45
16/08/2016,TP4,NI,209.174,291
16/08/2016,TP4,SI,75.653,79.45
16/08/2016,TP5,NI,108.189,231
16/08/2016,TP5,SI,74.095,79.45
16/08/2016,TP6,NI,137.905,241.077
16/08/2016,TP6,SI,79.215,79.45
16/08/2016,TP7,NI,125.497,231
16/08/2016,TP7,SI,90.851,79.45
16/08/2016,TP8,NI,125.276,231
16/08/2016,TP8,SI,84.938,79.45
16/08/2016,TP9,NI,169.566,273.778
16/08/2016,TP9,SI,78.483,79.45
16/08/2016,TP10,NI,105.059,216.505
16/08/2016,TP10,SI,76.217,79.45
16/08/2016,TP11,NI,189.936,291
16/08/2016,TP11,SI,68.8,79.45
16/08/2016,TP12,NI,171.868,290.131
16/08/2016,TP12,SI,62.755,79.45
16/08/2016,TP13,NI,152.053,291
16/08/2016,TP13,SI,52.573,79.45
16/08/2016,TP14,NI,152.922,291
16/08/2016,TP14,SI,31.68,79.45
16/08/2016,TP15,NI,200.58,336
16/08/2016,TP15,SI,10.709,79.45
16/08/2016,TP16,NI,147.342,312.109
16/08/2016,TP16,SI,8.413,79.45
16/08/2016,TP17,NI,109.943,274.638
16/08/2016,TP17,SI,8.716,79.45
16/08/2016,TP18,NI,136.803,284.596
16/08/2016,TP18,SI,11.127,79.45
16/08/2016,TP19,NI,144.024,291
16/08/2016,TP19,SI,11.2,79.45
16/08/2016,TP20,NI,144.727,291
16/08/2016,TP20,SI,11.312,79.45
16/08/2016,TP21,NI,168.019,291
16/08/2016,TP21,SI,13.296,79.45
16/08/2016,TP22,NI,173.961,291
16/08/2016,TP22,SI,17.605,79.45
16/08/2016,TP23,NI,193.804,319.65
16/08/2016,TP23,SI,22.971,79.45
16/08/2016,TP24,NI,199.155,335.587
16/08/2016,TP24,SI,28.516,79.45
16/08/2016,TP25,NI,204.223,332.893
16/08/2016,TP25,SI,29.639,79.45
16/08/2016,TP26,NI,180.362,303.627
16/08/2016,TP26,SI,30.259,79.45
16/08/2016,TP27,NI,144.947,291
16/08/2016,TP27,SI,31.299,79.45
16/08/2016,TP28,NI,153.273,291
16/08/2016,TP28,SI,35.621,79.45
16/08/2016,TP29,NI,163.017,308.483
16/08/2016,TP29,SI,46.975,79.45
16/08/2016,TP30,NI,156.983,311.062
16/08/2016,TP30,SI,41.702,79.45
16/08/2016,TP31,NI,127.221,291
16/08/2016,TP31,SI,45.758,79.45
16/08/2016,TP32,NI,129.747,291
16/08/2016,TP32,SI,38.381,79.45
16/08/2016,TP33,NI,184.804,331
16/08/2016,TP33,SI,26.671,79.45
16/08/2016,TP34,NI,170.906,314.748
16/08/2016,TP34,SI,27.364,79.45
16/08/2016,TP35,NI,185.093,318.228
16/08/2016,TP35,SI,18.218,79.45
16/08/2016,TP36,NI,195.422,318.514
16/08/2016,TP36,SI,10.763,79.45
16/08/2016,TP37,NI,116.26,267.525
16/08/2016,TP37,SI,9.086,79.45
16/08/2016,TP38,NI,125.276,271.892
16/08/2016,TP38,SI,10.08,79.45
16/08/2016,TP39,NI,141.127,291
16/08/2016,TP39,SI,10.421,79.45
16/08/2016,TP40,NI,138.031,291
16/08/2016,TP40,SI,11.505,79.45
16/08/2016,TP41,NI,152.746,291
16/08/2016,TP41,SI,11.797,79.45
16/08/2016,TP42,NI,193.431,325.627
16/08/2016,TP42,SI,16.026,79.45
16/08/2016,TP43,NI,185.195,318.498
16/08/2016,TP43,SI,18.368,79.45
16/08/2016,TP44,NI,211.951,336
16/08/2016,TP44,SI,44.207,79.45
16/08/2016,TP45,NI,212.776,336
16/08/2016,TP45,SI,46.828,79.45
16/08/2016,TP46,NI,181.363,299.534
16/08/2016,TP46,SI,71.82,79.45
16/08/2016,TP47,NI,175.959,291
16/08/2016,TP47,SI,72.743,79.45
16/08/2016,TP48,NI,201.454,291
16/08/2016,TP48,SI,80.809,79.45
