-,,,fir,
21/07/2016,TP1,NI,254.686,323
21/07/2016,TP1,SI,66.829,79.45
21/07/2016,TP2,NI,260.474,332
21/07/2016,TP2,SI,61.959,79.45
21/07/2016,TP3,NI,211.158,261.235
21/07/2016,TP3,SI,89.255,79.45
21/07/2016,TP4,NI,240.357,291
21/07/2016,TP4,SI,110.372,65
21/07/2016,TP5,NI,269.16,302.891
21/07/2016,TP5,SI,117.778,79.45
21/07/2016,TP6,NI,260.02,289.487
21/07/2016,TP6,SI,108.79,79.45
21/07/2016,TP7,NI,264.781,294.89
21/07/2016,TP7,SI,129.44,65
21/07/2016,TP8,NI,211.345,248.126
21/07/2016,TP8,SI,109.093,65
21/07/2016,TP9,NI,197.775,231.24
21/07/2016,TP9,SI,102.373,65
21/07/2016,TP10,NI,225.577,252.807
21/07/2016,TP10,SI,74.842,79.45
21/07/2016,TP11,NI,247.769,287.821
21/07/2016,TP11,SI,68.117,79.45
21/07/2016,TP12,NI,236.818,291
21/07/2016,TP12,SI,60.583,79.45
21/07/2016,TP13,NI,228.711,303.12
21/07/2016,TP13,SI,48.908,79.45
21/07/2016,TP14,NI,202.662,332
21/07/2016,TP14,SI,38.124,79.45
21/07/2016,TP15,NI,224.929,333
21/07/2016,TP15,SI,34.125,79.45
21/07/2016,TP16,NI,214.331,333
21/07/2016,TP16,SI,25.186,79.45
21/07/2016,TP17,NI,215.81,333
21/07/2016,TP17,SI,22.264,79.45
21/07/2016,TP18,NI,217.349,334
21/07/2016,TP18,SI,25.418,79.45
21/07/2016,TP19,NI,206.225,334
21/07/2016,TP19,SI,24.311,79.45
21/07/2016,TP20,NI,207.058,333
21/07/2016,TP20,SI,28.553,79.45
21/07/2016,TP21,NI,195.66,333
21/07/2016,TP21,SI,27.181,79.45
21/07/2016,TP22,NI,183.465,332
21/07/2016,TP22,SI,31.286,79.45
21/07/2016,TP23,NI,175.258,299.238
21/07/2016,TP23,SI,34.29,79.45
21/07/2016,TP24,NI,205.114,312.162
21/07/2016,TP24,SI,38.593,79.45
21/07/2016,TP25,NI,183.342,307.834
21/07/2016,TP25,SI,36.8,79.45
21/07/2016,TP26,NI,218.151,315.261
21/07/2016,TP26,SI,37.383,79.45
21/07/2016,TP27,NI,186.216,306.679
21/07/2016,TP27,SI,37.637,79.45
21/07/2016,TP28,NI,269.866,375.719
21/07/2016,TP28,SI,40.348,79.45
21/07/2016,TP29,NI,256.76,366.144
21/07/2016,TP29,SI,45.888,79.45
21/07/2016,TP30,NI,247.646,353.607
21/07/2016,TP30,SI,47.854,79.45
21/07/2016,TP31,NI,254.885,346.423
21/07/2016,TP31,SI,45.356,79.45
21/07/2016,TP32,NI,255.365,370.965
21/07/2016,TP32,SI,40.559,79.45
21/07/2016,TP33,NI,248.071,362.277
21/07/2016,TP33,SI,38.199,79.45
21/07/2016,TP34,NI,232.946,351.042
21/07/2016,TP34,SI,35.256,79.45
21/07/2016,TP35,NI,260.034,376.124
21/07/2016,TP35,SI,24.937,79.45
21/07/2016,TP36,NI,284.813,400.652
21/07/2016,TP36,SI,21.807,79.45
21/07/2016,TP37,NI,218.975,380.883
21/07/2016,TP37,SI,21.363,79.45
21/07/2016,TP38,NI,255.725,380.127
21/07/2016,TP38,SI,21.81,79.45
21/07/2016,TP39,NI,284.51,402.987
21/07/2016,TP39,SI,12.275,79.45
21/07/2016,TP40,NI,236.193,345.536
21/07/2016,TP40,SI,15.032,79.45
21/07/2016,TP41,NI,183.621,336.098
21/07/2016,TP41,SI,15.434,79.45
21/07/2016,TP42,NI,197.642,349.934
21/07/2016,TP42,SI,21.82,79.45
21/07/2016,TP43,NI,174.37,309.629
21/07/2016,TP43,SI,28.587,79.45
21/07/2016,TP44,NI,201.087,306.595
21/07/2016,TP44,SI,33.746,79.45
21/07/2016,TP45,NI,223.156,306.251
21/07/2016,TP45,SI,37.587,79.45
21/07/2016,TP46,NI,242.623,333.272
21/07/2016,TP46,SI,46.203,79.45
21/07/2016,TP47,NI,229.598,325.877
21/07/2016,TP47,SI,46.951,79.45
21/07/2016,TP48,NI,243.645,310.707
21/07/2016,TP48,SI,54.578,79.45
