-,,,fir,
18/08/2016,TP1,NI,167.438,291
18/08/2016,TP1,SI,70.961,79.45
18/08/2016,TP2,NI,179.744,291
18/08/2016,TP2,SI,73.499,79.45
18/08/2016,TP3,NI,132.61,251
18/08/2016,TP3,SI,72.479,79.45
18/08/2016,TP4,NI,136.068,251
18/08/2016,TP4,SI,73.718,79.45
18/08/2016,TP5,NI,145.778,266
18/08/2016,TP5,SI,84.255,79.45
18/08/2016,TP6,NI,94.41,232.993
18/08/2016,TP6,SI,93.307,65
18/08/2016,TP7,NI,120.813,237.673
18/08/2016,TP7,SI,78.977,79.45
18/08/2016,TP8,NI,112.703,239.069
18/08/2016,TP8,SI,76.604,79.45
18/08/2016,TP9,NI,145.032,253.306
18/08/2016,TP9,SI,76.897,79.45
18/08/2016,TP10,NI,171.204,291
18/08/2016,TP10,SI,88.36,79.45
18/08/2016,TP11,NI,151.727,291
18/08/2016,TP11,SI,67.371,79.45
18/08/2016,TP12,NI,222.611,336
18/08/2016,TP12,SI,62.55,79.45
18/08/2016,TP13,NI,210.957,336
18/08/2016,TP13,SI,45.49,79.45
18/08/2016,TP14,NI,139.523,291
18/08/2016,TP14,SI,28.125,79.45
18/08/2016,TP15,NI,156.771,291
18/08/2016,TP15,SI,10.124,79.45
18/08/2016,TP16,NI,148.231,291
18/08/2016,TP16,SI,8.732,79.45
18/08/2016,TP17,NI,155.263,291
18/08/2016,TP17,SI,8.744,79.45
18/08/2016,TP18,NI,153.384,291
18/08/2016,TP18,SI,9.913,79.45
18/08/2016,TP19,NI,141.284,291
18/08/2016,TP19,SI,11.154,79.45
18/08/2016,TP20,NI,182.756,306
18/08/2016,TP20,SI,11.657,79.45
18/08/2016,TP21,NI,208.905,336
18/08/2016,TP21,SI,13.632,79.45
18/08/2016,TP22,NI,207.214,336
18/08/2016,TP22,SI,15.085,79.45
18/08/2016,TP23,NI,234.461,336
18/08/2016,TP23,SI,16.769,79.45
18/08/2016,TP24,NI,220.88,336
18/08/2016,TP24,SI,22.639,79.45
18/08/2016,TP25,NI,209.84,336
18/08/2016,TP25,SI,25.261,79.45
18/08/2016,TP26,NI,202.977,336
18/08/2016,TP26,SI,26.495,79.45
18/08/2016,TP27,NI,205.286,336
18/08/2016,TP27,SI,30.978,79.45
18/08/2016,TP28,NI,157.048,291
18/08/2016,TP28,SI,32.196,79.45
18/08/2016,TP29,NI,141.323,276.626
18/08/2016,TP29,SI,34.642,79.45
18/08/2016,TP30,NI,156.773,291
18/08/2016,TP30,SI,34.101,79.45
18/08/2016,TP31,NI,172.46,306
18/08/2016,TP31,SI,33.671,79.45
18/08/2016,TP32,NI,99.807,251
18/08/2016,TP32,SI,33.771,79.45
18/08/2016,TP33,NI,85.737,251
18/08/2016,TP33,SI,32.398,79.45
18/08/2016,TP34,NI,147.546,291
18/08/2016,TP34,SI,29.706,79.45
18/08/2016,TP35,NI,174.139,325.347
18/08/2016,TP35,SI,28.2,79.45
18/08/2016,TP36,NI,164.228,291
18/08/2016,TP36,SI,13.825,79.45
18/08/2016,TP37,NI,157.407,291
18/08/2016,TP37,SI,10.434,79.45
18/08/2016,TP38,NI,142.072,291
18/08/2016,TP38,SI,10.469,79.45
18/08/2016,TP39,NI,155.195,291
18/08/2016,TP39,SI,12.994,79.45
18/08/2016,TP40,NI,147.054,291
18/08/2016,TP40,SI,13.407,79.45
18/08/2016,TP41,NI,189.203,336
18/08/2016,TP41,SI,15.077,79.45
18/08/2016,TP42,NI,196.732,336
18/08/2016,TP42,SI,18.028,79.45
18/08/2016,TP43,NI,187.719,336
18/08/2016,TP43,SI,25.973,79.45
18/08/2016,TP44,NI,200.994,336
18/08/2016,TP44,SI,28.432,79.45
18/08/2016,TP45,NI,206.701,336
18/08/2016,TP45,SI,51.682,79.45
18/08/2016,TP46,NI,228.627,336
18/08/2016,TP46,SI,69.223,79.45
18/08/2016,TP47,NI,211.749,336
18/08/2016,TP47,SI,61.948,79.45
18/08/2016,TP48,NI,238.691,336
18/08/2016,TP48,SI,66.999,79.45
