-,,,fir,
4/08/2016,TP1,NI,42.217,133
4/08/2016,TP1,SI,100.741,65
4/08/2016,TP2,NI,53.007,133
4/08/2016,TP2,SI,97.456,65
4/08/2016,TP3,NI,77.573,133
4/08/2016,TP3,SI,61.843,79.45
4/08/2016,TP4,NI,55.406,133
4/08/2016,TP4,SI,103.15,79.45
4/08/2016,TP5,NI,51.444,133
4/08/2016,TP5,SI,104.438,65
4/08/2016,TP6,NI,55.466,133
4/08/2016,TP6,SI,102.864,65
4/08/2016,TP7,NI,51.176,133
4/08/2016,TP7,SI,104.947,65
4/08/2016,TP8,NI,48.45,133
4/08/2016,TP8,SI,104.064,65
4/08/2016,TP9,NI,49.02,133
4/08/2016,TP9,SI,104.958,65
4/08/2016,TP10,NI,53.697,133
4/08/2016,TP10,SI,102.759,65
4/08/2016,TP11,NI,48.933,161
4/08/2016,TP11,SI,64.868,79.45
4/08/2016,TP12,NI,61.523,171
4/08/2016,TP12,SI,56.812,79.45
4/08/2016,TP13,NI,181.703,291
4/08/2016,TP13,SI,43.355,79.45
4/08/2016,TP14,NI,171.395,282.46
4/08/2016,TP14,SI,30.973,79.45
4/08/2016,TP15,NI,167.048,291
4/08/2016,TP15,SI,13.441,79.45
4/08/2016,TP16,NI,146.194,302
4/08/2016,TP16,SI,8.179,79.45
4/08/2016,TP17,NI,182.759,302
4/08/2016,TP17,SI,8.12,79.45
4/08/2016,TP18,NI,167.152,302
4/08/2016,TP18,SI,11.939,79.45
4/08/2016,TP19,NI,173.186,301
4/08/2016,TP19,SI,12.302,79.45
4/08/2016,TP20,NI,174.236,303
4/08/2016,TP20,SI,15.372,79.45
4/08/2016,TP21,NI,171.028,305
4/08/2016,TP21,SI,15.667,79.45
4/08/2016,TP22,NI,188.345,324.489
4/08/2016,TP22,SI,16.067,79.45
4/08/2016,TP23,NI,176.728,304
4/08/2016,TP23,SI,18.162,79.45
4/08/2016,TP24,NI,173.911,304
4/08/2016,TP24,SI,17.915,79.45
4/08/2016,TP25,NI,212.344,316.989
4/08/2016,TP25,SI,18.915,79.45
4/08/2016,TP26,NI,179.237,291
4/08/2016,TP26,SI,20.308,79.45
4/08/2016,TP27,NI,202.339,311.584
4/08/2016,TP27,SI,23.102,79.45
4/08/2016,TP28,NI,141.183,261.295
4/08/2016,TP28,SI,24.233,79.45
4/08/2016,TP29,NI,141.907,261
4/08/2016,TP29,SI,24.56,79.45
4/08/2016,TP30,NI,123.091,251
4/08/2016,TP30,SI,26.003,79.45
4/08/2016,TP31,NI,134.327,261
4/08/2016,TP31,SI,25.59,79.45
4/08/2016,TP32,NI,182.548,304.713
4/08/2016,TP32,SI,23.589,79.45
4/08/2016,TP33,NI,176.327,291
4/08/2016,TP33,SI,21.144,79.45
4/08/2016,TP34,NI,157.517,305
4/08/2016,TP34,SI,15.336,79.45
4/08/2016,TP35,NI,155.34,303.136
4/08/2016,TP35,SI,12.63,79.45
4/08/2016,TP36,NI,157.985,306
4/08/2016,TP36,SI,10.837,79.45
4/08/2016,TP37,NI,150.63,295.341
4/08/2016,TP37,SI,7.511,79.45
4/08/2016,TP38,NI,137.972,276.538
4/08/2016,TP38,SI,6.383,79.45
4/08/2016,TP39,NI,156.339,291
4/08/2016,TP39,SI,14.319,79.45
4/08/2016,TP40,NI,135.553,291
4/08/2016,TP40,SI,15.294,79.45
4/08/2016,TP41,NI,156.948,291
4/08/2016,TP41,SI,16.666,79.45
4/08/2016,TP42,NI,172.308,309
4/08/2016,TP42,SI,20.445,79.45
4/08/2016,TP43,NI,172.289,309
4/08/2016,TP43,SI,21.274,79.45
4/08/2016,TP44,NI,149.41,291
4/08/2016,TP44,SI,26.34,79.45
4/08/2016,TP45,NI,176.746,291
4/08/2016,TP45,SI,29.918,79.45
4/08/2016,TP46,NI,148.936,291
4/08/2016,TP46,SI,41.366,79.45
4/08/2016,TP47,NI,99.788,211
4/08/2016,TP47,SI,43.543,79.45
4/08/2016,TP48,NI,91.024,201
4/08/2016,TP48,SI,97.41,79.45
