-,,,fir,
20/07/2016,TP1,NI,179.029,251
20/07/2016,TP1,SI,59.333,79.45
20/07/2016,TP2,NI,104.572,171
20/07/2016,TP2,SI,60.612,79.45
20/07/2016,TP3,NI,69.41,151
20/07/2016,TP3,SI,62.022,79.45
20/07/2016,TP4,NI,76.271,133
20/07/2016,TP4,SI,65.059,79.45
20/07/2016,TP5,NI,76.166,133
20/07/2016,TP5,SI,65.32,79.45
20/07/2016,TP6,NI,99.317,151
20/07/2016,TP6,SI,67.035,79.45
20/07/2016,TP7,NI,97.287,151
20/07/2016,TP7,SI,66.296,79.45
20/07/2016,TP8,NI,93.013,151
20/07/2016,TP8,SI,69.835,79.45
20/07/2016,TP9,NI,94.75,167.701
20/07/2016,TP9,SI,68.158,79.45
20/07/2016,TP10,NI,100.364,181.675
20/07/2016,TP10,SI,63.948,79.45
20/07/2016,TP11,NI,142.836,228.774
20/07/2016,TP11,SI,59.801,79.45
20/07/2016,TP12,NI,227.962,299.478
20/07/2016,TP12,SI,55.96,79.45
20/07/2016,TP13,NI,224.795,291
20/07/2016,TP13,SI,44.691,79.45
20/07/2016,TP14,NI,217.202,328
20/07/2016,TP14,SI,33.648,79.45
20/07/2016,TP15,NI,219.353,317.892
20/07/2016,TP15,SI,31.845,79.45
20/07/2016,TP16,NI,206.525,313.601
20/07/2016,TP16,SI,28.81,79.45
20/07/2016,TP17,NI,211.247,306
20/07/2016,TP17,SI,27.625,79.45
20/07/2016,TP18,NI,187.198,329
20/07/2016,TP18,SI,26.392,79.45
20/07/2016,TP19,NI,192.624,330
20/07/2016,TP19,SI,23.068,79.45
20/07/2016,TP20,NI,190.799,329
20/07/2016,TP20,SI,23.039,79.45
20/07/2016,TP21,NI,186.313,329
20/07/2016,TP21,SI,23.985,79.45
20/07/2016,TP22,NI,258.798,411.953
20/07/2016,TP22,SI,25.716,79.45
20/07/2016,TP23,NI,286.177,416.615
20/07/2016,TP23,SI,27.605,79.45
20/07/2016,TP24,NI,240.25,383.922
20/07/2016,TP24,SI,32.384,79.45
20/07/2016,TP25,NI,261.538,371.378
20/07/2016,TP25,SI,35.129,79.45
20/07/2016,TP26,NI,296.944,397.073
20/07/2016,TP26,SI,35.684,79.45
20/07/2016,TP27,NI,293.834,411.939
20/07/2016,TP27,SI,38.49,79.45
20/07/2016,TP28,NI,242.808,364.59
20/07/2016,TP28,SI,45.809,79.45
20/07/2016,TP29,NI,262.605,377.11
20/07/2016,TP29,SI,50.281,79.45
20/07/2016,TP30,NI,246.163,346.947
20/07/2016,TP30,SI,51.482,79.45
20/07/2016,TP31,NI,237.74,328
20/07/2016,TP31,SI,77.721,65
20/07/2016,TP32,NI,234.081,329
20/07/2016,TP32,SI,48.384,79.45
20/07/2016,TP33,NI,239.689,329
20/07/2016,TP33,SI,47.401,79.45
20/07/2016,TP34,NI,219.811,330
20/07/2016,TP34,SI,37.95,79.45
20/07/2016,TP35,NI,215.393,330
20/07/2016,TP35,SI,33.33,79.45
20/07/2016,TP36,NI,197.972,339.395
20/07/2016,TP36,SI,22.945,79.45
20/07/2016,TP37,NI,200.354,331
20/07/2016,TP37,SI,25.898,79.45
20/07/2016,TP38,NI,195.066,331
20/07/2016,TP38,SI,22.883,79.45
20/07/2016,TP39,NI,209.279,331
20/07/2016,TP39,SI,31.454,79.45
20/07/2016,TP40,NI,237.687,332
20/07/2016,TP40,SI,27.209,79.45
20/07/2016,TP41,NI,230.69,332
20/07/2016,TP41,SI,29.826,79.45
20/07/2016,TP42,NI,225.69,332
20/07/2016,TP42,SI,31.171,79.45
20/07/2016,TP43,NI,210.643,332
20/07/2016,TP43,SI,35.614,79.45
20/07/2016,TP44,NI,229.552,332
20/07/2016,TP44,SI,42.932,79.45
20/07/2016,TP45,NI,246.928,332
20/07/2016,TP45,SI,54.787,79.45
20/07/2016,TP46,NI,262.358,324.657
20/07/2016,TP46,SI,60.192,79.45
20/07/2016,TP47,NI,236.129,332
20/07/2016,TP47,SI,51.114,79.45
20/07/2016,TP48,NI,247.269,322
20/07/2016,TP48,SI,55.52,79.45
